,course_title,start_date,students_number
507,SMM-маркетолог от А до Я,2017-06-01,0
508,SMM-маркетолог от А до Я,2017-07-01,0
509,SMM-маркетолог от А до Я,2017-08-01,0
510,SMM-маркетолог от А до Я,2017-09-01,0
511,SMM-маркетолог от А до Я,2017-10-01,0
512,SMM-маркетолог от А до Я,2017-11-01,0
513,SMM-маркетолог от А до Я,2017-12-01,0
514,SMM-маркетолог от А до Я,2018-01-01,0
515,SMM-маркетолог от А до Я,2018-02-01,0
516,SMM-маркетолог от А до Я,2018-03-01,0
517,SMM-маркетолог от А до Я,2018-04-01,0
518,SMM-маркетолог от А до Я,2018-05-01,0
519,SMM-маркетолог от А до Я,2018-06-01,0
520,SMM-маркетолог от А до Я,2018-07-01,0
521,SMM-маркетолог от А до Я,2018-08-01,0
522,SMM-маркетолог от А до Я,2018-09-01,0
523,SMM-маркетолог от А до Я,2018-10-01,33
524,SMM-маркетолог от А до Я,2018-11-01,49
525,SMM-маркетолог от А до Я,2018-12-01,101
526,SMM-маркетолог от А до Я,2019-01-01,104
527,SMM-маркетолог от А до Я,2019-02-01,128
528,SMM-маркетолог от А до Я,2019-03-01,116
529,SMM-маркетолог от А до Я,2019-04-01,130
530,SMM-маркетолог от А до Я,2019-05-01,164
531,SMM-маркетолог от А до Я,2019-06-01,196
532,SMM-маркетолог от А до Я,2019-07-01,198
533,PHP-разработчик с 0 до PRO. Часть 1,2016-03-01,0
534,PHP-разработчик с 0 до PRO. Часть 1,2016-04-01,0
535,PHP-разработчик с 0 до PRO. Часть 1,2016-05-01,0
536,PHP-разработчик с 0 до PRO. Часть 1,2016-06-01,0
537,PHP-разработчик с 0 до PRO. Часть 1,2016-07-01,0
538,PHP-разработчик с 0 до PRO. Часть 1,2016-08-01,0
539,PHP-разработчик с 0 до PRO. Часть 1,2016-09-01,0
540,PHP-разработчик с 0 до PRO. Часть 1,2016-10-01,0
541,PHP-разработчик с 0 до PRO. Часть 1,2016-11-01,0
542,PHP-разработчик с 0 до PRO. Часть 1,2016-12-01,0
543,PHP-разработчик с 0 до PRO. Часть 1,2017-01-01,0
544,PHP-разработчик с 0 до PRO. Часть 1,2017-02-01,0
545,PHP-разработчик с 0 до PRO. Часть 1,2017-03-01,0
546,PHP-разработчик с 0 до PRO. Часть 1,2017-04-01,0
547,PHP-разработчик с 0 до PRO. Часть 1,2017-05-01,0
548,PHP-разработчик с 0 до PRO. Часть 1,2017-06-01,0
549,PHP-разработчик с 0 до PRO. Часть 1,2017-07-01,0
550,PHP-разработчик с 0 до PRO. Часть 1,2017-08-01,0
551,PHP-разработчик с 0 до PRO. Часть 1,2017-09-01,0
552,PHP-разработчик с 0 до PRO. Часть 1,2017-10-01,0
